id,label
949058424,NO
121870320,NO
156956746,NO
644409171,NO
657568251,NO
660196149,NO
664549743,NO
679513242,NO
692307110,NO
721377123,NO
724552743,NO
912526425,NO
920382816,NO
944899238,NO
947358853,NO
949081322,NO
949083272,NO
94292816,NO
961310638,NO
947450928,NO
94312015,NO
575636997,NO
939932146,NO
127892506,NO
943647545,NO
533830991,NO
109109706,NO
176222755,NO
176223360,NO
460336981,NO
492276527,NO
536096487,NO
547236132,NO
564892278,NO
628914206,NO
630618031,NO
655566860,NO
667367169,NO
669909132,NO
687187399,NO
687988964,NO
688262169,NO
703928811,NO
721580107,NO
878510515,NO
886811520,NO
888484641,NO
926237053,NO
947062368,NO
948646265,NO
637253014,NO
946883350,NO
885281725,NO
799457425,NO
110512555,NO
186760581,NO
919041736,NO
197074254,NO
804114113,NO
682947142,NO
106782122,NO
193725456,NO
453689942,NO
665721295,NO
671720449,NO
690625447,NO
703851152,NO
714377439,NO
724774445,NO
899917745,NO
940092072,NO
797078303,NO
730153701,NO
947059519,NO
950524355,NO
945084673,NO
650628959,NO
913812877,NO
878130590,NO
846407390,NO
859716530,NO
912236348,NO
566522096,NO
622074335,NO
953632693,NO
955116781,NO
957359634,NO
899885864,NO
683687420,NO
949447861,NO
628258049,NO
958395369,NO
132025439,NO
778164465,NO
797587283,NO
821852912,NO
875342986,NO
878132440,NO
880855658,NO
883197139,NO
898442054,NO
911494409,NO
918861933,NO
922011519,NO
927812911,NO
945179472,NO
945921257,NO
949609573,NO
954708465,NO
957190414,NO
850856016,NO
878627732,NO
379862876,NO
934124997,NO
932785917,NO
943471475,NO
929008257,NO
956549938,NO
895676714,NO
717804258,NO
946629864,NO
857551496,NO
898477405,NO
696173961,NO
881739711,NO
909634074,NO
918961066,NO
902198425,NO
864954763,NO
218156913,NO
880169397,NO
883528050,NO
943294122,NO
924299099,NO
881607953,NO
915346747,NO
713915307,NO
926764796,NO
956332608,NO
676965014,NO
692888395,NO
879458308,NO
880939197,NO
906880454,NO
924292403,NO
940078319,NO
952994083,NO
956680842,NO
648733907,NO
890880185,NO
892774210,NO
714377866,NO
741519830,NO
872256203,NO
730397911,NO
732078161,NO
929770672,NO
886116181,NO
103427515,NO
600737153,NO
946417006,NO
478686004,NO
904025085,NO
710107177,NO
904946264,NO
717953293,NO
933720391,NO
948345405,NO
664541822,NO
640916222,NO
783788386,NO
637164426,NO
680372454,NO
717880432,NO
738589623,NO
900413308,NO
912926657,NO
812613958,NO
954581042,NO
958138694,NO
932519103,NO
707599450,NO
159127019,NO
492221701,NO
506962928,NO
533012084,NO
640182714,NO
643425611,NO
670010894,NO
878523587,NO
901297945,NO
928049597,NO
950371551,NO
953479661,NO
957201597,NO
539150037,NO
350689381,NO
954717019,NO
665593171,NO
738670144,NO
730474399,NO
161936074,NO
677613305,NO
538857413,NO
704774129,NO
894777854,NO
634161745,NO
680622885,NO
699641154,NO
94509951,NO
163492136,NO
443773547,NO
540571706,NO
563925168,NO
678659480,NO
698673323,NO
948278997,NO
181573636,NO
184104073,NO
722511641,NO
675815308,NO
599586487,NO
186059118,NO
920812499,NO
118183745,NO
666577053,NO
657493931,NO
615446895,NO
644163389,NO
731287799,NO
102399432,NO
900508165,NO
719400900,NO
721339145,NO
934364646,NO
951260230,NO
477622875,NO
615400191,NO
711354723,NO
900670275,NO
712921549,NO
716071659,NO
696040967,NO
939521570,NO
891150456,NO
676986657,NO
950559742,NO
948634666,NO
548054130,NO
797505949,NO
918949272,NO
723625587,NO
568241412,NO
721970150,NO
877454860,NO
657225871,NO
742048484,NO
785457713,NO
497805162,NO
902826193,NO
919325378,NO
937034549,NO
247166036,NO
645206496,NO
714376542,NO
716885741,NO
855192149,NO
864956198,NO
899508459,NO
908719849,NO
924047643,NO
951777341,NO
952407485,NO
952947872,NO
739537325,NO
685326480,NO
926755938,NO
712202685,NO
895954471,NO
954259800,NO
944895023,NO
781475801,NO
162276817,NO
880859726,NO
881899653,NO
902964228,NO
853732431,NO
877513580,NO
877601095,NO
799353751,NO
846514267,NO
881922682,NO
719501069,NO
881783714,NO
942594430,NO
859244125,NO
940149931,NO
924203784,NO
691563103,NO
904080551,NO
694289939,NO
715806314,NO
857618908,NO
179120668,NO
662638379,NO
900881965,NO
956861248,NO
708565798,NO
948617527,NO
676961343,NO
174042796,NO
918947322,NO
951763456,NO
177303565,NO
643205227,NO
688404293,NO
734835543,NO
877560568,NO
953249434,NO
961343762,NO
667362075,NO
908876916,NO
551068675,NO
708737406,NO
884477798,NO
948038798,NO
919041284,NO
838585224,NO
946751412,NO
796698161,NO
953883814,NO
934544746,NO
909227603,NO
922261795,NO
945753981,NO
933579958,YES
956877982,YES
716058442,YES
716937366,YES
924536126,YES
540425501,YES
740059153,YES
927168835,YES
307419874,YES
697576617,YES
701432359,YES
920941785,YES
94406631,YES
99430262,YES
128880160,YES
229230608,YES
550324789,YES
732148879,YES
799609373,YES
880698167,YES
900656460,YES
945616146,YES
950999642,YES
955982703,YES
674226815,YES
684538023,YES
902764778,YES
114991684,YES
659997318,YES
699718625,YES
724492053,YES
950817426,YES
559189902,YES
629791317,YES
647951271,YES
675821430,YES
950842795,YES
957139887,YES
958590598,YES
903704134,YES
940022485,YES
946923780,YES
529279468,YES
553661439,YES
669680999,YES
714192825,YES
778756867,YES
690782507,YES
500947278,YES
129552596,YES
645234623,YES
101271998,YES
651202527,YES
719800439,YES
727500323,YES
819380417,YES
929698853,YES
582654913,YES
931418820,YES
217882236,YES
152840278,YES
950365195,YES
921044961,YES
733155987,YES
675355439,YES
